# Viktor: 16000 nucleotides with different fractions and corresponding number of repeats from Victor's pipeline
43_pseudo_192_2.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1736;11;492;12;117;13;58;14;20;15;11;16;7;17;2;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44_pseudo_192_3.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1729;11;462;12;112;13;50;14;27;15;9;16;3;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45_pseudo_192_4.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1667;11;439;12;137;13;49;14;29;15;9;16;5;17;2;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46_pseudo_192_5.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1672;11;455;12;98;13;48;14;29;15;7;16;4;17;3;18;0;19;0;20;0;21;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47_pseudo_192_6.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1745;11;466;12;119;13;56;14;22;15;12;16;1;17;1;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48_pseudo_192_7.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1798;11;445;12;129;13;55;14;32;15;12;16;4;17;3;18;0;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49_pseudo_192_8.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1714;11;457;12;109;13;54;14;18;15;13;16;4;17;3;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50_pseudo_192_9.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1724;11;432;12;111;13;52;14;17;15;9;16;4;17;2;18;0;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51_pseudo_240_0.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2137;11;648;12;173;13;82;14;31;15;26;16;1;17;2;18;1;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52_pseudo_240_1.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2244;11;626;12;195;13;81;14;30;15;19;16;9;17;1;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53_pseudo_240_2.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2245;11;647;12;151;13;73;14;41;15;14;16;9;17;5;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54_pseudo_240_3.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2257;11;587;12;167;13;75;14;35;15;12;16;5;17;3;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55_pseudo_240_4.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2293;11;634;12;160;13;70;14;32;15;13;16;5;17;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56_pseudo_240_5.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2214;11;624;12;169;13;75;14;40;15;18;16;8;17;0;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57_pseudo_240_6.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2276;11;615;12;185;13;80;14;41;15;20;16;6;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58_pseudo_240_7.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2176;11;611;12;165;13;77;14;33;15;16;16;4;17;3;18;0;19;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59_pseudo_240_8.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2203;11;613;12;170;13;75;14;30;15;20;16;4;17;6;18;2;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60_pseudo_240_9.sqlite;5440 3520 3520 3520  0.34 0.22 0.22 0.22  16000;10;2257;11;648;12;178;13;72;14;40;15;12;16;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61_pseudo_288_0.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3602;11;1036;12;294;13;129;14;81;15;38;16;4;17;10;18;1;19;1;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62_pseudo_288_1.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3461;11;1008;12;249;13;144;14;69;15;23;16;10;17;7;18;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63_pseudo_288_2.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3518;11;976;12;294;13;151;14;70;15;33;16;15;17;5;18;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64_pseudo_288_3.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3320;11;977;12;257;13;129;14;72;15;28;16;13;17;5;18;3;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65_pseudo_288_4.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3368;11;1021;12;270;13;124;14;71;15;23;16;11;17;6;18;2;19;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66_pseudo_288_5.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3289;11;938;12;282;13;129;14;57;15;25;16;14;17;6;18;0;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67_pseudo_288_6.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3549;11;1025;12;296;13;157;14;74;15;26;16;17;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68_pseudo_288_7.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3316;11;977;12;270;13;138;14;59;15;26;16;15;17;4;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69_pseudo_288_8.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3458;11;999;12;266;13;130;14;66;15;41;16;12;17;6;18;3;19;0;20;0;21;0;22;0;23;0;24;0;25;0;26;1;;;;;;;;;;;;;;;;;;
70_pseudo_288_9.sqlite;6208 3264 3264 3264  0.388 0.204 0.204 0.204  16000;10;3542;11;1022;12;315;13;136;14;71;15;31;16;15;17;6;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71_pseudo_336_0.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5878;11;1761;12;550;13;278;14;148;15;47;16;31;17;17;18;4;19;2;20;0;21;0;22;0;23;0;24;1;;;;;;;;;;;;;;;;;;;;;;
72_pseudo_336_1.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5990;11;1911;12;606;13;278;14;138;15;59;16;22;17;11;18;4;19;3;20;0;21;0;22;2;23;0;24;0;25;0;26;0;27;0;28;0;29;0;30;0;31;0;32;0;33;0;34;0;35;1
73_pseudo_336_2.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5902;11;1773;12;614;13;272;14;152;15;63;16;33;17;9;18;3;19;2;20;0;21;0;22;0;23;1;;;;;;;;;;;;;;;;;;;;;;;;
74_pseudo_336_3.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;6235;11;1871;12;587;13;285;14;141;15;64;16;32;17;7;18;5;19;2;20;0;21;0;22;1;23;0;24;1;;;;;;;;;;;;;;;;;;;;;;
75_pseudo_336_4.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5950;11;1742;12;630;13;277;14;125;15;63;16;28;17;15;18;2;19;2;20;3;21;1;22;0;23;0;24;1;25;0;26;1;;;;;;;;;;;;;;;;;;
76_pseudo_336_5.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5732;11;1827;12;579;13;263;14;128;15;71;16;25;17;12;18;2;19;2;20;0;21;0;22;1;;;;;;;;;;;;;;;;;;;;;;;;;;
77_pseudo_336_6.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;6177;11;1930;12;574;13;258;14;115;15;74;16;29;17;16;18;4;19;1;20;2;21;0;22;1;23;0;24;1;25;0;26;1;;;;;;;;;;;;;;;;;;
78_pseudo_336_7.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5869;11;1863;12;531;13;281;14;128;15;62;16;37;17;10;18;6;19;2;20;2;21;0;22;0;23;1;;;;;;;;;;;;;;;;;;;;;;;;
79_pseudo_336_8.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5991;11;1860;12;579;13;279;14;148;15;57;16;35;17;10;18;7;19;1;20;1;21;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80_pseudo_336_9.sqlite;6976 3008 3008 3008  0.436 0.188 0.188 0.188  16000;10;5989;11;1727;12;585;13;262;14;145;15;72;16;33;17;18;18;7;19;1;20;1;21;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81_pseudo_384_0.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;12335;11;4073;12;1421;13;693;14;335;15;191;16;103;17;51;18;28;19;8;20;3;21;4;22;2;23;1;24;4;25;1;26;4;27;0;28;0;29;1;30;0;31;0;32;0;33;0;34;1;;
82_pseudo_384_1.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11625;11;3756;12;1303;13;645;14;365;15;178;16;90;17;44;18;14;19;7;20;3;21;1;22;1;23;1;24;1;25;0;26;1;27;0;28;0;29;0;30;0;31;2;;;;;;;;
83_pseudo_384_2.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;10587;11;3439;12;1124;13;587;14;319;15;161;16;74;17;34;18;14;19;6;20;6;21;2;22;0;23;0;24;0;25;1;26;0;27;0;28;0;29;1;30;2;;;;;;;;;;
84_pseudo_384_3.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11432;11;4108;12;1382;13;701;14;388;15;162;16;92;17;41;18;16;19;8;20;4;21;1;22;2;23;2;24;3;25;2;26;1;27;0;28;0;29;1;;;;;;;;;;;;
85_pseudo_384_4.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11374;11;3859;12;1281;13;641;14;385;15;201;16;92;17;40;18;13;19;5;20;2;21;2;22;2;23;2;24;3;25;1;26;0;27;1;28;0;29;1;30;0;31;0;32;1;33;0;34;0;35;1
86_pseudo_384_5.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11558;11;3916;12;1279;13;621;14;339;15;138;16;75;17;37;18;17;19;10;20;2;21;1;22;1;23;2;24;0;25;1;26;1;27;1;28;0;29;1;;;;;;;;;;;;
87_pseudo_384_6.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11834;11;4118;12;1407;13;705;14;423;15;206;16;108;17;42;18;25;19;4;20;6;21;0;22;0;23;2;24;2;25;0;26;2;27;3;28;1;29;1;;;;;;;;;;;;
88_pseudo_384_7.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11231;11;3777;12;1268;13;641;14;345;15;195;16;76;17;49;18;17;19;12;20;4;21;2;22;1;23;1;24;1;25;1;;;;;;;;;;;;;;;;;;;;
89_pseudo_384_8.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11605;11;3947;12;1288;13;634;14;360;15;192;16;81;17;48;18;19;19;7;20;5;21;2;22;0;23;1;24;3;25;0;26;1;27;2;28;0;29;1;30;1;31;0;32;1;;;;;;
90_pseudo_384_9.sqlite;7744 2752 2752 2752  0.484 0.172 0.172 0.172  16000;10;11490;11;3835;12;1377;13;668;14;400;15;198;16;87;17;42;18;19;19;4;20;1;21;1;22;4;23;0;24;0;25;2;26;0;27;0;28;0;29;0;30;1;;;;;;;;;;
