CopyNumber,PercentMatches,FullLength,ConsensusLength,fr_A_cons,fr_T_cons,fr_G_cons,fr_C_cons,fr_A_repeat,fr_T_repeat,fr_G_repeat,fr_C_repeat,RepeatsNumber
16.6,100,132,8,3,4,1,0,50,66,17,0,3
23.3,100,232,10,5,5,0,0,117,116,0,0,3
1.9,88,36,19,10,7,1,1,18,15,2,2,3
2.6,82,44,17,9,6,0,2,21,16,2,6,1
3.1,98,232,75,30,32,4,9,93,99,12,29,2
2.2,100,25,12,2,2,1,7,4,5,2,15,2
3,99,197,67,21,22,14,10,63,65,40,30,2
3.1,95,501,164,63,56,21,24,194,167,63,78,2
2,88,83,42,18,14,5,5,35,32,9,8,1
15.5,100,61,4,2,0,1,1,32,0,15,15,2
2.3,94,28,13,6,1,0,6,14,2,0,13,2
1.9,93,29,16,8,7,0,1,15,14,0,1,6
1.9,93,29,16,8,7,0,1,15,14,0,1,6
2.6,84,106,40,15,21,1,3,42,57,2,6,6
2.6,84,106,40,15,21,1,3,42,57,2,6,6
3.7,86,74,20,7,12,0,1,27,45,1,2,6
3.7,86,74,20,7,12,0,1,27,45,1,2,6
20.9,100,166,8,3,4,0,1,63,83,0,21,1
1.9,93,29,16,6,6,2,2,12,12,3,3,1
2,100,42,21,5,8,3,5,11,16,6,10,1
1.9,93,29,15,6,6,1,2,12,12,3,3,1
2.4,84,41,17,8,4,1,4,19,11,2,10,2
2,93,29,15,5,8,1,1,9,16,3,2,2
2,96,217,108,31,34,17,26,62,68,34,54,1
3.3,98,71,22,5,7,5,5,15,22,19,16,3
3.5,100,77,22,5,7,5,5,18,23,19,18,3
2,96,253,128,35,30,23,40,69,61,47,77,3
4,93,86,22,5,6,6,5,21,21,25,20,3
2,86,265,130,35,21,30,44,65,50,65,86,3
2.5,93,53,22,5,4,8,5,13,8,19,14,3
4.1,92,89,22,7,5,5,5,25,22,22,21,1
2.9,99,155,54,15,12,8,19,43,33,25,55,2
4,86,87,22,5,6,6,5,18,21,26,23,2
2,88,86,44,11,10,13,10,19,22,25,21,4
3.2,97,70,22,5,6,6,5,14,20,21,16,4
2.9,95,62,22,5,6,6,5,12,17,18,16,4
2,92,273,137,35,32,28,42,67,64,58,85,4
2.4,100,192,81,28,17,6,30,67,41,15,70,2
2.3,100,50,22,7,6,4,5,14,15,10,12,2
2.1,88,32,16,6,3,3,4,12,6,5,10,2
2.4,96,52,22,6,6,5,5,11,17,13,12,2
3.2,62,106,33,12,11,2,8,36,40,5,26,3
3.1,95,32,11,1,7,2,1,3,21,6,3,3
11.1,97,755,68,21,26,3,18,229,296,35,196,3
2.2,100,25,12,2,3,1,6,4,7,2,13,1
2.5,99,353,141,57,39,14,31,139,95,41,79,1
24.8,81,211,8,4,1,0,3,94,24,12,82,3
6.1,86,211,34,17,4,0,13,94,24,12,82,3
8.2,88,211,26,13,3,0,10,94,24,12,82,3
13.6,86,158,12,9,2,1,0,119,26,11,3,5
5.8,80,160,27,21,3,1,2,121,26,11,3,5
26.5,72,160,6,5,1,0,0,121,26,11,3,5
9.9,97,112,10,8,1,1,0,84,18,10,1,5
6.7,75,59,9,7,1,0,1,46,9,2,3,5
5,86,41,8,4,4,0,0,21,20,0,1,1
5.2,97,625,119,45,29,14,31,233,157,76,160,2
2.6,98,625,239,89,58,29,63,233,157,76,160,2
2.2,97,973,439,155,99,67,118,343,227,143,261,1
26.4,87,283,10,3,2,2,3,90,51,51,92,5
13.2,89,283,21,6,4,4,7,90,51,51,92,5
9.2,85,298,32,11,6,5,10,95,53,52,99,5
5.5,79,56,10,3,2,1,4,18,10,7,22,5
2.6,95,36,14,6,1,1,6,15,2,4,16,5
6.6,98,722,109,31,31,18,29,206,209,117,191,1
13.7,100,95,7,3,3,0,1,41,42,0,13,2
17.5,98,138,8,3,4,1,0,51,71,17,0,2
21,100,41,2,1,0,0,1,21,0,0,21,1
1.9,100,24,13,7,6,0,0,13,12,0,0,1
17,100,33,2,1,1,0,0,17,17,0,0,2
1.9,84,38,20,9,6,3,2,17,11,8,3,2
20.5,96,759,37,6,11,8,12,121,207,168,264,6
10.8,84,42,4,3,0,0,1,31,1,2,9,6
3.2,88,37,12,9,1,0,2,28,2,1,7,6
15.5,93,30,2,1,1,0,0,16,14,0,1,6
2.3,89,178,78,29,26,5,18,63,66,9,41,6
1.9,97,149,78,27,29,5,17,50,57,9,34,6
31.7,99,316,10,3,1,2,4,95,32,62,128,1
13.6,98,135,10,3,2,2,3,41,28,27,40,2
18.9,100,188,10,2,2,3,3,38,37,57,57,2
57.7,99,576,10,2,2,3,3,117,114,173,173,1
58,99,579,10,2,2,3,3,119,119,171,171,1
36.4,96,363,10,2,2,3,3,76,81,106,101,1
5.6,100,27,5,4,1,0,0,23,5,0,0,3
1.9,94,151,79,26,29,6,18,50,62,10,30,3
4.6,97,170,37,6,10,8,13,22,45,43,61,3
